,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-02-24 11:06:00,2021-02-24,11:06 AM,2055.07,2052.25,2054.994,215,441823.74,5,2055.075,2053.5,2054.343,734,1507888.06,6,2053.535,2054.995,2054.34,2055.075,0.008979204656931456,0.010188712460470697
2021-02-24 11:07:00,2021-02-24,11:07 AM,2054.49,2054.39,2054.453,76,156138.43,3,2056.713,2054.46,2055.586,200,411117.28,2,2054.48,2054.39,2054.46,2056.713,0.008713579672274777,0.010799936861453542
2021-02-24 11:08:00,2021-02-24,11:08 AM,2054.15,2052.47,2054.05,31,63675.54,4,2052.865,2052.865,2052.865,100,205286.5,1,2054.15,2052.85,2052.865,2052.865,0.008515711153205362,0.009461930751176463
2021-02-24 11:09:00,2021-02-24,11:09 AM,2054.89,2053.67,2053.728,105,215641.45,2,2054.24,2053.67,2054.048,300,616214.5,3,2054.89,2053.67,2054.24,2053.67,0.008357612733502117,0.010043651158547934
2021-02-24 11:10:00,2021-02-24,11:10 AM,2056.19,2053.85,2054.665,232,476682.32,9,2056.06,2054.18,2054.936,2203,4527024.24,21,2054.58,2056.19,2054.74,2055.95,0.00881766931506072,0.010480310263996867
2021-02-24 11:11:00,2021-02-24,11:11 AM,2057.14,2055.145,2057.059,321,660315.785,6,2057.14,2055.34,2056.632,1700,3496275.0,15,2055.19,2055.145,2055.34,2057.08,0.00999309669633236,0.011314289816745786
2021-02-24 11:12:00,2021-02-24,11:12 AM,2058.95,2058.47,2058.895,116,238831.87,5,2059.18,2056.67,2057.572,1121,2306538.37,9,2058.47,2058.52,2056.98,2059.18,0.010894552281969061,0.01177651904999111
2021-02-24 11:13:00,2021-02-24,11:13 AM,2059.13,2058.34,2058.546,138,284079.31,7,2059.19,2058.48,2058.953,300,617686.0,3,2059.12,2058.76,2058.48,2059.19,0.010723197162477018,0.01245560263628014
2021-02-24 11:14:00,2021-02-24,11:14 AM,2058.96,2057.1,2058.131,26,53511.415,7,,,,0,0.0,0,2058.79,2058.765,,,0.01051943677683473,0.01236315678963103
2021-02-24 11:15:00,2021-02-24,11:15 AM,2058.775,2058.64,2058.665,123,253215.825,3,2058.64,2056.525,2057.738,300,617321.5,3,2058.775,2058.64,2058.64,2056.525,0.01078162483932392,0.01185814676564918
