,date,label,high,low,average,volume,notional,numberOfTrades,marketHigh,marketLow,marketAverage,marketVolume,marketNotional,marketNumberOfTrades,open,close,marketOpen,marketClose,changeOverTime,marketChangeOverTime
2021-03-18 13:04:00,2021-03-18,1:04 PM,2058.23,2058.21,2058.23,102.0,209939.44,3.0,2058.63,2058.08,2058.264,950,1955350.6,8,2058.23,2058.21,2058.12,2058.113,-0.0023571404682192366,0.00038056244504804744
2021-03-18 13:05:00,2021-03-18,1:05 PM,2059.29,2058.27,2059.047,15.0,30885.71,3.0,2059.56,2058.46,2059.227,1400,2882918.0,14,2059.0,2058.27,2059.06,2058.46,-0.0019611331142124094,0.0008486105096473015
2021-03-18 13:06:00,2021-03-18,1:06 PM,2058.75,2058.75,2058.75,1.0,2058.75,1.0,2059.67,2059.03,2059.561,588,1211021.96,3,2058.75,2058.75,2059.03,2059.67,-0.0021050917239309364,0.0010109449370370501
2021-03-18 13:07:00,2021-03-18,1:07 PM,2058.41,2057.57,2058.361,163.0,335512.78,5.0,2058.52,2057.44,2057.984,800,1646387.0,8,2058.4,2057.57,2058.52,2057.6,-0.0022936435730235966,0.0002444737035237271
2021-03-18 13:08:00,2021-03-18,1:08 PM,2057.16,2057.0,2057.096,50.0,102854.8,3.0,2057.8,2057.6,2057.67,600,1234602.0,6,2057.16,2057.0,2057.8,2057.6,-0.0029068006144172096,9.185990052877807e-05
2021-03-18 13:09:00,2021-03-18,1:09 PM,2058.075,2058.075,2058.075,100.0,205807.5,1.0,2058.075,2057.6,2057.761,300,617328.44,3,2058.075,2058.075,2057.609,2058.075,-0.0024322703823821947,0.0001360887415240993
2021-03-18 13:10:00,2021-03-18,1:10 PM,2057.65,2056.9,2057.317,9.0,18515.85,5.0,2058.14,2056.63,2057.463,811,1668602.43,8,2057.65,2057.0,2058.14,2056.63,-0.0027996798980946765,-8.74856195514277e-06
2021-03-18 13:11:00,2021-03-18,1:11 PM,2057.995,2057.995,2057.995,1.0,2057.995,1.0,2058.54,2057.23,2057.644,500,1028822.0,5,2057.995,2057.995,2057.34,2058.54,-0.0024710471122726687,7.922308881567127e-05
2021-03-18 13:12:00,2021-03-18,1:12 PM,2059.4,2058.96,2059.107,3.0,6177.32,3.0,2059.28,2058.57,2058.995,400,823598.0,4,2059.4,2058.96,2058.57,2059.13,-0.0019320505667945538,0.0007358512666701023
2021-03-18 13:13:00,2021-03-18,1:13 PM,2059.58,2058.0,2058.652,500.0,1029325.86,12.0,2060.14,2058.14,2059.314,1000,2059314.5,9,2058.48,2059.58,2058.81,2060.125,-0.002152593218046789,0.0008908952257637513
2021-03-18 13:14:00,2021-03-18,1:14 PM,2060.55,2059.5,2059.77,5.0,10298.85,5.0,2060.92,2059.52,2059.958,500,1029979.0,5,2059.74,2060.55,2060.13,2060.92,-0.0016106884178269548,0.0012038993312695776
2021-03-18 13:15:00,2021-03-18,1:15 PM,2060.99,2060.13,2060.438,172.0,354395.34,10.0,2061.96,2060.39,2061.265,1100,2267392.0,9,2060.13,2060.24,2061.22,2060.39,-0.001286902723241146,0.001839142135455759
2021-03-18 13:16:00,2021-03-18,1:16 PM,,,,0.0,0.0,0.0,2060.93,2060.9,2060.915,200,412183.0,2,,,2060.93,2060.9,,0.0016690312085505244
2021-03-18 13:17:00,2021-03-18,1:17 PM,2061.63,2061.19,2061.194,100.0,206119.44,2.0,2062.5,2061.64,2061.985,400,824794.0,4,2061.63,2061.19,2061.64,2062.5,-0.0009204626257759041,0.002189084613661028
2021-03-18 13:18:00,2021-03-18,1:18 PM,,,,0.0,0.0,0.0,2062.78,2062.5,2062.687,300,618806.0,3,,,2062.5,2062.78,,0.002530278529910933
2021-03-18 13:19:00,2021-03-18,1:19 PM,2063.51,2063.51,2063.51,2.0,4127.02,1.0,2063.27,2062.78,2063.057,300,618917.0,3,2063.51,2063.51,2062.78,2063.27,0.00020212370455445833,0.002710110081210746
